Accession	Gene_name	Protein_name	Original_ID	Entry_name	Experiment_id
NA	NA	NA	IPI00404025.1	Putative uncharacterized protein	exp089
O08532-3	Cacna2d1	Isoform 2C of Voltage-dependent calcium channel subunit alpha-2/delta-1	IPI00410982.1	Isoform 2C of Voltage-dependent calcium channel subunit alpha-2/delta-1	exp089
Q60716-2	P4ha2	Isoform IIa of Prolyl 4-hydroxylase subunit alpha-2	IPI00227966.1	Isoform IIa of Prolyl 4-hydroxylase subunit alpha-2	exp089
Q9WVB4	Slit3	Slit homolog 3 protein	IPI00664551.2	Slit homolog 3 protein	exp089
NA	NA	NA	IPI00403987.2	Tropomyosin 1, alpha isoform 5	exp089
O08573-2	Lgals9	Isoform Short of Galectin-9	IPI00230649.1	Isoform Short of Galectin-9	exp089
Q60749	Khdrbs1	KH domain-containing, RNA-binding, signal transduction-associated protein 1	IPI00458765.2	KH domain-containing, RNA-binding, signal transduction-associated protein 1	exp089
Q9Z0H8-2	Clip2	Isoform 2 of CAP-Gly domain-containing linker protein 2	IPI00408543.5	Isoform 2 of CAP-Gly domain-containing linker protein 2	exp089
NA	NA	NA	IPI00666346.4	Fat 1 cadherin	exp089
O08583-2	Alyref	Isoform 2 of THO complex subunit 4	IPI00122339.3	Isoform 2 of THO complex subunit 4	exp089
Q60790	Rasa3	Ras GTPase-activating protein 3	IPI00468396.3	Ras GTPase-activating protein 3	exp089
Q9Z0K8	Vnn1	Pantetheinase	IPI00129215.2	Pantetheinase	exp089
NA	NA	NA	IPI00553798.2	AHNAK nucleoprotein isoform 1	exp089
O08917	Flot1	Flotillin-1	IPI00117181.1	Flotillin-1	exp089
Q60870	Reep5;Dp1	Receptor expression-enhancing protein 5	IPI00315463.4	Receptor accessory protein 5	exp089
Q9Z0N1	Eif2s3x	Eukaryotic translation initiation factor 2 subunit 3, X-linked	IPI00230415.5	Eukaryotic translation initiation factor 2 subunit 3, X-linked	exp089
NA	NA	NA	IPI00311344.3	89 kDa protein	exp089
O09044	Snap23;Sndt	Synaptosomal-associated protein 23	IPI00622270.1	Synaptosomal-associated protein 23	exp089
Q60930	Vdac2;Vdac6	Voltage-dependent anion-selective channel protein 2	IPI00122547.1	Voltage-dependent anion-selective channel protein 2	exp089
Q9Z0P4-1	Palm 	Paralemmin-1	IPI00129298.1	Isoform 1 of Paralemmin	exp089
NA	NA	NA	IPI00622968.1	Hypothetical protein	exp089
O35129	Phb2;Bap;Bcap37;Rea	Prohibitin-2	IPI00321718.4	Prohibitin-2	exp089
Q60931	Vdac3	Voltage-dependent anion-selective channel protein 3	IPI00876341.1	Voltage-dependent anion-selective channel protein 3	exp089
Q9Z1G3	Atp6v1c1;Atp6c;Atp6c1;Vatc	V-type proton ATPase subunit C 1	IPI00130186.4	V-type proton ATPase subunit C 1	exp089
NA	NA	NA	IPI00880679.1	29 kDa protein	exp089
O35379	Abcc1;Abcc1a;Abcc1b;Mdrap;Mrp	Multidrug resistance-associated protein 1	IPI00129915.3	Multidrug resistance-associated protein 1	exp089
Q60932-2	Vdac1	Isoform Mt-VDAC1 of Voltage-dependent anion-selective channel protein 1	IPI00230540.1	Isoform Mt-VDAC1 of Voltage-dependent anion-selective channel protein 1	exp089
Q9Z2A7	Dgat1;Dgat	Diacylglycerol O-acyltransferase 1	IPI00130963.1	Diacylglycerol O-acyltransferase 1	exp089
NA	NA	NA	IPI00408218.1	Zyx protein	exp089
O35400-1	Sult2b1 	Sulfotransferase family cytosolic 2B member 1	IPI00130613.2	Isoform 1 of Sulfotransferase family cytosolic 2B member 1	exp089
Q61011	Gnb3	Guanine nucleotide-binding protein G	IPI00116938.1	Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-3	exp089
NA	NA	NA	IPI00655059.1	Putative uncharacterized protein	exp089
O35639	Anxa3;Anx3	Annexin A3	IPI00132722.8	Annexin A3	exp089
Q61144-2	Psen2	Isoform 2 of Presenilin-2	IPI00357546.1	Isoform 2 of Presenilin-2	exp089
NA	NA	NA	IPI00830427.1	Tropomyosin 1, alpha isoform 9	exp089
O35682	Myadm;Mug	Myeloid-associated differentiation marker	IPI00132938.2	Myeloid-associated differentiation marker	exp089
Q61147	Cp	Ceruloplasmin	IPI00117831.2	Ceruloplasmin	exp089
NA	NA	NA	IPI00653274.1	Brain cDNA, clone MNCb-1272, similar to Mus musculus chaperonin subunit 2 (beta) (Cct2), mRNA	exp089
O35887	Calu	Calumenin	IPI00135186.1	Calumenin	exp089
Q61301-2	Ctnna2	Isoform 2 of Catenin alpha-2	IPI00230751.3	Isoform 2 of Catenin alpha-2	exp089
NA	NA	NA	IPI00889220.1	Ribosomal protein-like	exp089
O35988	Sdc4	Syndecan-4	IPI00136382.1	Syndecan-4	exp089
Q61335	Bcap31;Bap31	B-cell receptor-associated protein 31	IPI00230422.6	B-cell receptor-associated protein 31	exp089
NA	NA	NA	IPI00225244.1	Tumor suppressor candidate 3	exp089
O54724	Ptrf	Polymerase I and transcript release factor	IPI00117689.1	Polymerase I and transcript release factor	exp089
Q61391	Mme	Neprilysin	IPI00461861.5	Neprilysin	exp089
NA	NA	NA	IPI00626504.2	Similar to Acidic ribosomal phosphoprotein P0	exp089
O54916-2	Reps1	Isoform 2 of RalBP1-associated Eps domain-containing protein 1	IPI00338228.2	Isoform 2 of RalBP1-associated Eps domain-containing protein 1	exp089
Q61503	Nt5e;Nt5;Nte	5'-nucleotidase	IPI00122257.1	5'-nucleotidase	exp089
NA	NA	NA	IPI00753915.2	Similar to Zinc finger protein 341	exp089
O55131	Sept7;Cdc10	Septin-7	IPI00874440.1	Septin-7	exp089
Q61543	Glg1;Esl1;Mg160;Selel	Golgi apparatus protein 1	IPI00122399.1	Golgi apparatus protein 1	exp089
NA	NA	NA	IPI00652811.1	Putative uncharacterized protein	exp089
O55142	Rpl35a	60S ribosomal protein L35a	IPI00115902.2	60S ribosomal protein L35a	exp089
Q61595-16	Ktn1	Isoform 16 of Kinectin	IPI00759936.1	Isoform 16 of Kinectin	exp089
NA	NA	NA	IPI00404017.1	Putative uncharacterized protein	exp089
O70250	Pgam2	Phosphoglycerate mutase 2	IPI00230706.5	Phosphoglycerate mutase 2	exp089
Q61595-2	Ktn1	Isoform 2 of Kinectin	IPI00759943.1	Isoform 2 of Kinectin	exp089
NA	NA	NA	IPI00857038.1	15 kDa protein	exp089
O70404	Vamp8	Vesicle-associated membrane protein 8	IPI00453589.1	Vesicle-associated membrane protein 8	exp089
Q61703	Itih2	Inter-alpha-trypsin inhibitor heavy chain H2	IPI00227834.9	Inter-alpha trypsin inhibitor, heavy chain 2	exp089
NA	NA	NA	IPI00817013.1	Nedd4 protein	exp089
O70456	Sfn;Mkrn3	14-3-3 protein sigma	IPI00118286.1	14-3-3 protein sigma	exp089
Q61735-1	Cd47 	Leukocyte surface antigen CD47	IPI00403079.4	Isoform 1 of Leukocyte surface antigen CD47	exp089
NA	NA	NA	IPI00273742.4	Dynein, axonemal, heavy chain 1	exp089
O70503-1	Hsd17b12 	Estradiol 17-beta-dehydrogenase 12	IPI00119219.2	Isoform 1 of Estradiol 17-beta-dehydrogenase 12	exp089
Q61753	Phgdh	D-3-phosphoglycerate dehydrogenase	IPI00225961.5	D-3-phosphoglycerate dehydrogenase	exp089
NA	NA	NA	IPI00850941.1	Similar to Hydroxyacyl-Coenzyme A dehydrogenase/3-ketoacyl-Coenzyme A thiolase/enoyl-Coenzyme A hydratase (trifunctional protein), beta subunit	exp089
O88384	Vti1b;Vti1l1	Vesicle transport through interaction with t-SNAREs homolog 1B	IPI00130115.1	Vesicle transport through interaction with t-SNAREs homolog 1B	exp089
Q61820	Rasl2-9	GTP-binding nuclear protein Ran, testis-specific isoform	IPI00126133.1	GTP-binding nuclear protein Ran, testis-specific isoform	exp089
NA	NA	NA	IPI00831299.2	14 kDa protein	exp089
O88653	Lamtor3;Map2k1ip1;Mapbp;Mapksp1	Ragulator complex protein LAMTOR3	IPI00133047.1	Mitogen-activated protein kinase scaffold protein 1	exp089
Q61879	Myh10	Myosin-10	IPI00515398.1	Myosin-10	exp089
NA	NA	NA	IPI00874489.2	33 kDa protein	exp089
O88708	Orc4;Orc4l	Origin recognition complex subunit 4	IPI00126116.2	Origin recognition complex subunit 4	exp089
Q61990-2	Pcbp2	Isoform 2 of Poly(rC)-binding protein 2	IPI00221796.1	Isoform 2 of Poly(rC)-binding protein 2	exp089
NA	NA	NA	IPI00886361.1	3 kDa protein	exp089
O88879-2	Apaf1	Isoform 2 of Apoptotic protease-activating factor 1	IPI00654978.1	Isoform 2 of Apoptotic protease-activating factor 1	exp089
Q62095	Ddx3y;D1Pas1-rs1;Dead2	ATP-dependent RNA helicase DDX3Y	IPI00134371.1	ATP-dependent RNA helicase DDX3Y	exp089
NA	NA	NA	IPI00758386.1	Similar to ciliary rootlet coiled-coil, rootletin	exp089
O88952	Lin7c;Mals3;Veli3	Protein lin-7 homolog C	IPI00136498.1	Lin-7 homolog C	exp089
Q62189	Snrpa;Rnu1a-1	U1 small nuclear ribonucleoprotein A	IPI00122350.4	U1 small nuclear ribonucleoprotein A	exp089
NA	NA	NA	IPI00880870.1	16 kDa protein	exp089
O88983	Stx8	Syntaxin-8	IPI00136653.1	Syntaxin-8	exp089
Q62241	Snrpc;Snrp1c	U1 small nuclear ribonucleoprotein C	IPI00123376.1	U1 small nuclear ribonucleoprotein C	exp089
NA	NA	NA	IPI00652813.1	Putative uncharacterized protein	exp089
P00405	Mtco2;COII;mt-Co2	Cytochrome c oxidase subunit 2	IPI00131176.1	Cytochrome c oxidase subunit 2	exp089
Q62261-1	Sptbn1 	Spectrin beta chain, non-erythrocytic 1	IPI00319830.7	Isoform 1 of Spectrin beta chain, brain 1	exp089
NA	NA	NA	IPI00750570.1	44 kDa protein	exp089
P02469	Lamb1;Lamb-1;Lamb1-1	Laminin subunit beta-1	IPI00338785.3	Laminin B1 subunit 1	exp089
Q62351	Tfrc;Trfr	Transferrin receptor protein 1	IPI00124700.1	Transferrin receptor protein 1	exp089
NA	NA	NA	IPI00754518.1	SET translocation	exp089
P03995-2	Gfap	Isoform 2 of Glial fibrillary acidic protein	IPI00649033.5	Isoform 2 of Glial fibrillary acidic protein	exp089
Q62418-3	Dbnl	Isoform 3 of Drebrin-like protein	IPI00458127.1	Isoform 3 of Drebrin-like protein	exp089
NA	NA	NA	IPI00856866.1	21 kDa protein	exp089
P04925	Prnp;Prn-p;Prp	Major prion protein	IPI00120793.1	Major prion protein	exp089
Q62425	Ndufa4	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 4	IPI00125929.2	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 4	exp089
NA	NA	NA	IPI00886422.1	15 kDa protein	exp089
P05064	Aldoa;Aldo1	Fructose-bisphosphate aldolase A	IPI00221402.7	Fructose-bisphosphate aldolase A	exp089
Q62452	Ugt1a9;Ugt1;Ugt1a12	UDP-glucuronosyltransferase 1-9	IPI00785460.2	UDP-glucuronosyltransferase 1-9	exp089
NA	NA	NA	IPI00880795.1	Histidine triad nucleotide binding protein	exp089
P07091	S100a4;Capl;Mts1	Protein S100-A4	IPI00124096.1	Protein S100-A4	exp089
Q63918	Sdpr;Sdr	Serum deprivation-response protein	IPI00135660.5	Serum deprivation-response protein	exp089
NA	NA	NA	IPI00409405.2	Similar to Cofilin-1 (Cofilin, non-muscle isoform) isoform 1	exp089
P07356	Anxa2;Anx2;Cal1h	Annexin A2	IPI00468203.3	Annexin A2	exp089
Q640N1-2	Aebp1	Isoform 2 of Adipocyte enhancer-binding protein 1	IPI00648038.1	Isoform 2 of Adipocyte enhancer-binding protein 1	exp089
NA	NA	NA	IPI00853788.1	Similar to ribosomal protein L19	exp089
P07901	Hsp90aa1;Hsp86;Hsp86-1;Hspca	Heat shock protein HSP 90-alpha	IPI00330804.4	Heat shock protein HSP 90-alpha	exp089
Q64133	Maoa	Amine oxidase [flavin-containing] A	IPI00169711.1	Amine oxidase [flavin-containing] A	exp089
NA	NA	NA	IPI00856349.1	Ribosomal protein L15	exp089
P08113	Hsp90b1;Grp94;Tra-1;Tra1	Endoplasmin	IPI00129526.1	Endoplasmin	exp089
Q64310	Surf4;Surf-4	Surfeit locus protein 4	IPI00133249.1	Surfeit locus protein 4	exp089
NA	NA	NA	IPI00653231.1	Putative uncharacterized protein	exp089
P08553	Nefm;Nef3;Nfm	Neurofilament medium polypeptide	IPI00323800.6	Neurofilament medium polypeptide	exp089
Q64324	Stxbp2;Unc18b	Syntaxin-binding protein 2	IPI00133317.1	Syntaxin-binding protein 2	exp089
NA	NA	NA	IPI00458105.2	Similar to ribosomal protein L3	exp089
P08752	Gnai2;Gnai-2	Guanine nucleotide-binding protein G	IPI00228617.6	Guanine nucleotide-binding protein G(i), alpha-2 subunit	exp089
Q64337-2	Sqstm1	Isoform 2 of Sequestosome-1	IPI00474373.1	Isoform 2 of Sequestosome-1	exp089
NA	NA	NA	IPI00880601.1	56 kDa protein	exp089
P09242	Alpl;Akp-2;Akp2	Alkaline phosphatase, tissue-nonspecific isozyme	IPI00134743.1	Alkaline phosphatase, tissue-nonspecific isozyme	exp089
Q64435	Ugt1a6;Ugt1;Ugt1a6a;Ugt1a7	UDP-glucuronosyltransferase 1-6	IPI00134432.3	UDP-glucuronosyltransferase 1-6	exp089
NA	NA	NA	IPI00750151.1	MKIAA0291 protein (Fragment)	exp089
P09405	Ncl;Nuc	Nucleolin	IPI00317794.5	Nucleolin	exp089
Q64478	Hist1h2bh	Histone H2B type 1-H	IPI00227930.3	Histone H2B type 1-H	exp089
NA	NA	NA	IPI00604969.3	Titin isoform N2-A	exp089
P09411	Pgk1;Pgk-1	Phosphoglycerate kinase 1	IPI00555069.3	Phosphoglycerate kinase 1	exp089
Q64695	Procr;Epcr	Endothelial protein C receptor	IPI00136972.1	Endothelial protein C receptor	exp089
NA	NA	NA	IPI00664643.2	Filamin, alpha	exp089
P09528	Fth1;Fth	Ferritin heavy chain	IPI00230145.5	Ferritin heavy chain	exp089
Q68FD5	Cltc	Clathrin heavy chain 1	IPI00169916.11	Clathrin heavy chain 1	exp089
NA	NA	NA	IPI00853832.1	Similar to Ribosomal protein L17 isoform 1	exp089
P0C0A3	Chmp6	Charged multivesicular body protein 6	IPI00110956.6	Charged multivesicular body protein 6	exp089
Q69ZN7-4	Myof	Isoform 4 of Myoferlin	IPI00850630.3	Isoform 4 of Myoferlin	exp089
NA	NA	NA	IPI00130827.3	Zinc finger protein 105	exp089
P10107	Anxa1;Anx1;Lpc-1;Lpc1	Annexin A1	IPI00230395.5	Annexin A1	exp089
Q6IRU2	Tpm4	Tropomyosin alpha-4 chain	IPI00421223.3	Tropomyosin alpha-4 chain	exp089
NA	NA	NA	IPI00462006.3	Hypothetical protein	exp089
P10126	Eef1a1;Eef1a	Elongation factor 1-alpha 1	IPI00307837.6	Elongation factor 1-alpha 1	exp089
Q6P1E8-1	Efcab6 	EF-hand calcium-binding domain-containing protein 6	IPI00134721.4	Isoform 1 of EF-hand calcium-binding domain-containing protein 6	exp089
NA	NA	NA	IPI00848816.1	Similar to Cofilin-1	exp089
P10639	Txn;Txn1	Thioredoxin	IPI00226993.5	Thioredoxin	exp089
Q6P1H6-3	Ankle2	Isoform 3 of Ankyrin repeat and LEM domain-containing protein 2	IPI00831331.1	Isoform 3 of Ankyrin repeat and LEM domain-containing protein 2	exp089
NA	NA	NA	IPI00761653.1	Putative uncharacterized protein	exp089
P10810	Cd14	Monocyte differentiation antigen CD14	IPI00308990.3	Monocyte differentiation antigen CD14	exp089
Q6PHN9	Rab35	Ras-related protein Rab-35	IPI00130489.1	Ras-related protein Rab-35	exp089
NA	NA	NA	IPI00752195.1	GAIP/RGS19 short isoform	exp089
P10833	Rras	Ras-related protein R-Ras	IPI00114594.1	Ras-related protein R-Ras	exp089
Q6URW6-2	Myh14	Isoform 2 of Myosin-14	IPI00608077.3	Isoform 2 of Myosin-14	exp089
NA	NA	NA	IPI00857330.1	19 kDa protein	exp089
P10852	Slc3a2;Mdu1	4F2 cell-surface antigen heavy chain	IPI00114641.3	4F2 cell-surface antigen heavy chain	exp089
Q6ZPZ3-2	Zc3h4	Isoform 2 of Zinc finger CCCH domain-containing protein 4	IPI00625723.2	Isoform 2 of Zinc finger CCCH domain-containing protein 4	exp089
NA	NA	NA	IPI00648014.1	Putative uncharacterized protein	exp089
P10853	Hist1h2bf;H2b-f;Hist1h2bj;H2b-j;Hist1h2bl;H2b-l;Hist1h2bn;H2b-n	Histone H2B type 1-F/J/L	IPI00114642.4	Histone H2B type 1-F/J/L	exp089
Q6ZWV7	Rpl35	60S ribosomal protein L35	IPI00263879.4	60S ribosomal protein L35	exp089
NA	NA	NA	IPI00348108.3	Hypothetical protein LOC215895	exp089
P11031	Sub1;Pc4;Rpo2tc1	Activated RNA polymerase II transcriptional coactivator p15	IPI00225633.3	Activated RNA polymerase II transcriptional coactivator p15	exp089
Q6ZWX6	Eif2s1;Eif2a	Eukaryotic translation initiation factor 2 subunit 1	IPI00474446.4	Eukaryotic translation initiation factor 2 subunit 1	exp089
NA	NA	NA	IPI00890196.1	22 kDa protein	exp089
P11438	Lamp1;Lamp-1	Lysosome-associated membrane glycoprotein 1	IPI00876139.1	Lysosome-associated membrane glycoprotein 1	exp089
Q70KF4	Cmya5;Sr553;Srfsd;Tims	Cardiomyopathy-associated protein 5	IPI00420271.2	Cardiomyopathy-associated protein 5	exp089
NA	NA	NA	IPI00889899.1	Hypothetical protein	exp089
P11984	NA	T-complex protein 1 subunit alpha	IPI00118678.1	T-complex protein 1 subunit alpha A	exp089
Q78PY7	Snd1	Staphylococcal nuclease domain-containing protein 1	IPI00123129.1	Staphylococcal nuclease domain-containing protein 1	exp089
NA	NA	NA	IPI00553798.2	AHNAK nucleoprotein isoform 1	exp090
NA	NA	NA	IPI00309413.5	Non-catalytic region of tyrosine kinase adaptor protein 2	exp090
P63268	Actg2;Acta3;Actsg	Actin, gamma-enteric smooth muscle	IPI00404804.1	Actin, gamma-enteric smooth muscle	exp090
Q91VC9	Ghitm;Mics1	Growth hormone-inducible transmembrane protein	IPI00126721.3	Growth hormone-inducible transmembrane protein	exp090
NA	NA	NA	IPI00880795.1	Histidine triad nucleotide binding protein	exp090
NA	NA	NA	IPI00352163.3	Putative uncharacterized protein	exp090
P63276	Rps17	40S ribosomal protein S17	IPI00465880.4	40S ribosomal protein S17	exp090
Q91VK1	Bzw2	Basic leucine zipper and W2 domain-containing protein 2	IPI00387337.1	Basic leucine zipper and W2 domain-containing protein 2	exp090
NA	NA	NA	IPI00856331.1	15 kDa protein	exp090
NA	NA	NA	IPI00927957.1	Protein	exp090
P63321	Rala;Ral;Ral-a	Ras-related protein Ral-A	IPI00124282.1	Ras-related protein Ral-A	exp090
Q91VR5	Ddx1	ATP-dependent RNA helicase DDX1	IPI00127172.3	ATP-dependent RNA helicase DDX1	exp090
NA	NA	NA	IPI00330649.4	Myosin IE	exp090
NA	NA	NA	IPI00466651.1	EGF-like repeats and discoidin I-like domains 3 isoform b	exp090
P63325	Rps10	40S ribosomal protein S10	IPI00112448.1	40S ribosomal protein S10	exp090
Q91VU0	Fam3c;D6Wsu176e;Ilei	Protein FAM3C	IPI00454042.2	Protein FAM3C	exp090
NA	NA	NA	IPI00461419.2	Similar to hCG1640785	exp090
A2A863-2	Itgb4	Isoform 2 of Integrin beta-4	IPI00313479.5	Isoform 2 of Integrin beta-4	exp090
P67778	Phb	Prohibitin	IPI00133440.1	Prohibitin	exp090
Q91VX2	Ubap2;Lig1	Ubiquitin-associated protein 2	IPI00457533.2	Ubiquitin-associated protein 2	exp090
NA	NA	NA	IPI00828266.2	Tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, epsilon polypeptide	exp090
A6BLY7	Krt28;Krt25d	Keratin, type I cytoskeletal 28	IPI00658923.1	Keratin, type I cytoskeletal 28	exp090
P67984	Rpl22	60S ribosomal protein L22	IPI00222546.5	60S ribosomal protein L22	exp090
Q91W52-1	Tmem19 	Transmembrane protein 19	IPI00754022.2	Isoform 1 of Transmembrane protein 19	exp090
NA	NA	NA	IPI00828758.2	Apolipoprotein O-like	exp090
A6X919-1	Dpy19l1 	Probable C-mannosyltransferase DPY19L1	IPI00857720.1	Isoform 1 of Protein dpy-19 homolog 1	exp090
P68040	Gnb2l1;Gnb2-rs1	Guanine nucleotide-binding protein subunit beta-2-like 1	IPI00317740.5	Guanine nucleotide-binding protein subunit beta-2-like 1	exp090
Q91W53-1	Golga7 	Golgin subfamily A member 7	IPI00127315.1	Isoform 1 of Golgin subfamily A member 7	exp090
NA	NA	NA	IPI00109044.8	Myosin light chain, regulatory B-like	exp090
O08532-2	Cacna2d1	Isoform 2B of Voltage-dependent calcium channel subunit alpha-2/delta-1	IPI00230013.3	Isoform 2B of Voltage-dependent calcium channel subunit alpha-2/delta-1	exp090
P68254-2	Ywhaq	Isoform 2 of 14-3-3 protein theta	IPI00656269.1	Isoform 2 of 14-3-3 protein theta	exp090
Q91W92	Cdc42ep1;Borg5;Cep1	Cdc42 effector protein 1	IPI00471127.1	Cdc42 effector protein 1	exp090
NA	NA	NA	IPI00750947.1	Tumor protein D52-like 2	exp090
O08532-3	Cacna2d1	Isoform 2C of Voltage-dependent calcium channel subunit alpha-2/delta-1	IPI00410982.1	Isoform 2C of Voltage-dependent calcium channel subunit alpha-2/delta-1	exp090
P68369	Tuba1a;Tuba1	Tubulin alpha-1A chain	IPI00110753.1	Tubulin alpha-1A chain	exp090
Q91WJ7-2	Spats2l	Isoform 2 of SPATS2-like protein	IPI00869372.1	Isoform 2 of SPATS2-like protein	exp090
NA	NA	NA	IPI00122815.3	Putative uncharacterized protein	exp090
O08543-2	Efna5	Isoform Short of Ephrin-A5	IPI00224678.1	Isoform Short of Ephrin-A5	exp090
P68372	Tubb4b;Tubb2c	Tubulin beta-4B chain	IPI00169463.1	Tubulin beta-2C chain	exp090
Q91WQ3	Yars	Tyrosine--tRNA ligase, cytoplasmic	IPI00314153.4	Tyrosyl-tRNA synthetase	exp090
NA	NA	NA	IPI00648786.1	Septin 9	exp090
O08573-2	Lgals9	Isoform Short of Galectin-9	IPI00230649.1	Isoform Short of Galectin-9	exp090
P68373	Tuba1c;Tuba6	Tubulin alpha-1C chain	IPI00403810.2	Tubulin alpha-1C chain	exp090
Q91X21-1	Kiaa2013 	Uncharacterized protein KIAA2013	IPI00853774.1	Isoform 1 of Uncharacterized protein KIAA2013	exp090
NA	NA	NA	IPI00668429.1	Desmoplakin isoform 2	exp090
O08583-2	Alyref	Isoform 2 of THO complex subunit 4	IPI00122339.3	Isoform 2 of THO complex subunit 4	exp090
P68510	Ywhah	14-3-3 protein eta	IPI00227392.5	14-3-3 protein eta	exp090
Q91X78	Erlin1;Keo4;Spfh1	Erlin-1	IPI00762654.1	Erlin-1	exp090
NA	NA	NA	IPI00222228.5	Hypothetical protein LOC239673	exp090
O08749	Dld	Dihydrolipoyl dehydrogenase, mitochondrial	IPI00874456.1	Dihydrolipoyl dehydrogenase, mitochondrial	exp090
P69744	Trpv5	Transient receptor potential cation channel subfamily V member 5	IPI00135681.4	Transient receptor potential cation channel subfamily V member 5	exp090
Q91XA2	Golm1;Golph2	Golgi membrane protein 1	IPI00128905.1	Golgi membrane protein 1	exp090
NA	NA	NA	IPI00653381.3	PDZ and LIM domain 5 isoform ENH1	exp090
O08912	Galnt1	Polypeptide N-acetylgalactosaminyltransferase 1	IPI00117174.1	Polypeptide N-acetylgalactosaminyltransferase 1	exp090
P70168	Kpnb1;Impnb	Importin subunit beta-1	IPI00323881.1	Importin subunit beta-1	exp090
Q91XP5	Glra3	Glycine receptor subunit alpha-3	IPI00380761.2	Glycine receptor, alpha 3 subunit	exp090
NA	NA	NA	IPI00831431.1	28 kDa protein	exp090
O08917	Flot1	Flotillin-1	IPI00117181.1	Flotillin-1	exp090
P70227	Itpr3	Inositol 1,4,5-trisphosphate receptor type 3	IPI00137400.2	Inositol 1,4,5-trisphosphate receptor type 3	exp090
Q91XV3	Basp1;Nap22	Brain acid soluble protein 1	IPI00129519.3	Brain acid soluble protein 1	exp090
NA	NA	NA	IPI00405977.6	Microtubule-actin crosslinking factor 1	exp090
O09044	Snap23;Sndt	Synaptosomal-associated protein 23	IPI00622270.1	Synaptosomal-associated protein 23	exp090
P70245	Ebp;Msi	3-beta-hydroxysteroid-Delta	IPI00137471.3	3-beta-hydroxysteroid-Delta(8),Delta(7)-isomerase	exp090
Q91YL7-2	Cwh43	Isoform 2 of PGAP2-interacting protein	IPI00407008.1	Isoform 2 of PGAP2-interacting protein	exp090
NA	NA	NA	IPI00654397.1	Putative uncharacterized protein	exp090
O09131	Gsto1;Gstx;Gtsttl	Glutathione S-transferase omega-1	IPI00114285.1	Glutathione S-transferase omega-1	exp090
P70280	Vamp7;Sybl1	Vesicle-associated membrane protein 7	IPI00137647.1	Vesicle-associated membrane protein 7	exp090
Q91YQ5	Rpn1	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1	IPI00309035.2	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1	exp090
NA	NA	NA	IPI00880348.1	T-complex protein 1, alpha subunit	exp090
O35129	Phb2;Bap;Bcap37;Rea	Prohibitin-2	IPI00321718.4	Prohibitin-2	exp090
P70296	Pebp1;Pbp;Pebp	Phosphatidylethanolamine-binding protein 1	IPI00137730.7	Phosphatidylethanolamine-binding protein 1	exp090
